GSE	GSM	SRX	SRR	Dataset
GSE210117	GSM6421615	SRX16741138	SRR20720498	2
GSE210117	GSM6421616	SRX16741139	SRR20720497	2
GSE210117	GSM6421617	SRX16741140	SRR20720496	2
GSE210117	GSM6421618	SRX16741141	SRR20720495	2
GSE210117	GSM6421619	SRX16741142	SRR20720494	2
GSE210117	GSM6421620	SRX16741143	SRR20720493	2
GSE210117	GSM6421621	SRX16741144	SRR20720492	2
GSE210117	GSM6421622	SRX16741145	SRR20720491	2
GSE210117	GSM6421623	SRX16741146	SRR20720490	2
GSE210117	GSM6421624	SRX16741147	SRR20720489	2
GSE210117	GSM6421625	SRX16741148	SRR20720488	2
GSE210117	GSM6421626	SRX16741149	SRR20720487	2
GSE210117	GSM6421627	SRX16741150	SRR20720486	2
GSE210117	GSM6421628	SRX16741151	SRR20720485	2
GSE210117	GSM6421629	SRX16741152	SRR20720484	2
GSE210117	GSM6421630	SRX16741153	SRR20720483	2
GSE210117	GSM6421631	SRX16741154	SRR20720482	2
GSE210117	GSM6421632	SRX16741155	SRR20720481	2
GSE210117	GSM6421633	SRX16741156	SRR20720480	2
GSE210117	GSM6421634	SRX16741157	SRR20720479	2
GSE210117	GSM6421635	SRX16741158	SRR20720478	2
GSE210117	GSM6421636	SRX16741159	SRR20720477	2
GSE210117	GSM6421637	SRX16741160	SRR20720476	2
GSE210117	GSM6421638	SRX16741161	SRR20720475	2
GSE210117	GSM6421639	SRX16741162	SRR20720474	2
GSE210117	GSM6421640	SRX16741163	SRR20720473	2
GSE210117	GSM6421641	SRX16741164	SRR20720472	2
GSE210117	GSM6421642	SRX16741165	SRR20720471	2
GSE210117	GSM6421643	SRX16741166	SRR20720470	2
GSE210117	GSM6421644	SRX16741167	SRR20720469	2
GSE210117	GSM6421645	SRX16741168	SRR20720468	2
GSE210117	GSM6421646	SRX16741169	SRR20720467	2
GSE210117	GSM6421647	SRX16741170	SRR20720466	2
GSE210117	GSM6421648	SRX16741171	SRR20720465	2
GSE210117	GSM6421649	SRX16741172	SRR20720464	2
GSE210117	GSM6421650	SRX16741173	SRR20720463	2
GSE210117	GSM6421651	SRX16741174	SRR20720462	2
GSE210117	GSM6421652	SRX16741175	SRR20720461	2
GSE210117	GSM6421653	SRX16741176	SRR20720460	2
GSE210117	GSM6421654	SRX16741177	SRR20720459	2
GSE210117	GSM6421655	SRX16741178	SRR20720458	2
GSE210117	GSM6421656	SRX16741179	SRR20720457	2
GSE114559	GSM3144752	SRX4091729	SRR7174087	1
GSE114559	GSM3144753	SRX4091730	SRR7174088	1
GSE114559	GSM3144754	SRX4091731	SRR7174089	1
GSE114559	GSM3144755	SRX4091732	SRR7174090	1
GSE114559	GSM3144756	SRX4091733	SRR7174091	1
GSE114559	GSM3144757	SRX4091734	SRR7174092	1
GSE114559	GSM3144758	SRX4091735	SRR7174093	1
GSE114559	GSM3144759	SRX4091736	SRR7174094	1
GSE114559	GSM3144760	SRX4091737	SRR7174095	1
GSE114559	GSM3144761	SRX4091738	SRR7174096	1
GSE114559	GSM3144762	SRX4091739	SRR7174097	1
GSE114559	GSM3144763	SRX4091740	SRR7174098	1
GSE114559	GSM3144764	SRX4091741	SRR7174099	1
GSE114559	GSM3144765	SRX4091742	SRR7174100	1
GSE114559	GSM3144766	SRX4091743	SRR7174101	1
GSE114559	GSM3144767	SRX4091744	SRR7174102	1
GSE114559	GSM3144768	SRX4091745	SRR7174103	1
GSE114559	GSM3144769	SRX4091746	SRR7174104	1
GSE114559	GSM3144770	SRX4091747	SRR7174105	1
GSE114559	GSM3144771	SRX4091748	SRR7174106	1
GSE114559	GSM3144772	SRX4091749	SRR7174107	1
GSE114559	GSM3144773	SRX4091750	SRR7174108	1
GSE114559	GSM3144774	SRX4091751	SRR7174109	1
GSE114559	GSM3144775	SRX4091752	SRR7174110	1
GSE114559	GSM3144776	SRX4091753	SRR7174111	1
GSE114559	GSM3144777	SRX4091754	SRR7174112	1
GSE114559	GSM3144778	SRX4091755	SRR7174113	1
GSE114559	GSM3144779	SRX4091756	SRR7174114	1
GSE114559	GSM3144780	SRX4091757	SRR7174115	1
GSE114559	GSM3144781	SRX4091758	SRR7174116	1
GSE114559	GSM3144782	SRX4091759	SRR7174117	1
GSE114559	GSM3144783	SRX4091760	SRR7174118	1
GSE114559	GSM3144784	SRX4091761	SRR7174119	1
GSE114559	GSM3144785	SRX4091762	SRR7174120	1
GSE114559	GSM3144786	SRX4091763	SRR7174121	1
GSE114559	GSM3144787	SRX4091764	SRR7174122	1
GSE114559	GSM3144788	SRX4091765	SRR7174123	1
GSE114559	GSM3144789	SRX4091766	SRR7174124	1
GSE114559	GSM3144790	SRX4091767	SRR7174125	1
GSE114559	GSM3144791	SRX4091768	SRR7174126	1
GSE114559	GSM3144792	SRX4091769	SRR7174127	1
GSE114559	GSM3144793	SRX4091770	SRR7174128	1
GSE114559	GSM3144794	SRX4091771	SRR7174129	1
GSE114559	GSM3144795	SRX4091772	SRR7174130	1
GSE114559	GSM3144796	SRX4091773	SRR7174131	1
GSE114559	GSM3144797	SRX4091774	SRR7174132	1
GSE114559	GSM3144798	SRX4091775	SRR7174133	1
GSE114559	GSM3144799	SRX4091776	SRR7174134	1
GSE114559	GSM3144800	SRX4091777	SRR7174135	1
GSE114559	GSM3144801	SRX4091778	SRR7174136	1
GSE114559	GSM3144802	SRX4091779	SRR7174137	1
GSE114559	GSM3144803	SRX4091780	SRR7174138	1
GSE114559	GSM3144804	SRX4091781	SRR7174139	1
GSE114559	GSM3144805	SRX4091782	SRR7174140	1
GSE114559	GSM3144806	SRX4091783	SRR7174141	1
GSE114559	GSM3144807	SRX4091784	SRR7174142	1
GSE114559	GSM3144808	SRX4091785	SRR7174143	1
GSE114559	GSM3144809	SRX4091786	SRR7174144	1
GSE114559	GSM3144810	SRX4091787	SRR7174145	1
GSE114559	GSM3144811	SRX4091788	SRR7174146	1
GSE114559	GSM3144812	SRX4091789	SRR7174147	1
GSE114559	GSM3144813	SRX4091790	SRR7174148	1
GSE114559	GSM3144814	SRX4091791	SRR7174149	1
GSE114559	GSM3144815	SRX4091792	SRR7174150	1
GSE114559	GSM3144816	SRX4091793	SRR7174151	1
GSE114559	GSM3144817	SRX4091794	SRR7174152	1
GSE114559	GSM3144818	SRX4091795	SRR7174153	1
GSE114559	GSM3144819	SRX4091796	SRR7174154	1
GSE114559	GSM3144820	SRX4091797	SRR7174155	1
GSE114559	GSM3144821	SRX4091798	SRR7174156	1
GSE114559	GSM3144822	SRX4091799	SRR7174157	1
GSE114559	GSM3144823	SRX4091800	SRR7174158	1
GSE114559	GSM3144824	SRX4091801	SRR7174159	1
GSE114559	GSM3144825	SRX4091802	SRR7174160	1
GSE114559	GSM3144826	SRX4091803	SRR7174161	1
GSE114559	GSM3144827	SRX4091804	SRR7174162	1
GSE114559	GSM3144828	SRX4091805	SRR7174163	1
GSE114559	GSM3144829	SRX4091806	SRR7174164	1
GSE114559	GSM3144830	SRX4091807	SRR7174165	1
GSE114559	GSM3144831	SRX4091808	SRR7174166	1
GSE114559	GSM3144832	SRX4091809	SRR7174167	1
