GSE	GSM	SRX	SRR	Dataset
GSE144857	GSM4299667	SRX7687176	SRR11034919	1
GSE144857	GSM4299668	SRX7687177	SRR11034920	1
GSE144857	GSM4299669	SRX7687178	SRR11034921	1
GSE144857	GSM4299670	SRX7687179	SRR11034922	1
GSE144857	GSM4299671	SRX7687180	SRR11034923	1
GSE144857	GSM4299672	SRX7687181	SRR11034924	1
GSE144857	GSM4299673	SRX7687182	SRR11034925	1
GSE144857	GSM4299674	SRX7687183	SRR11034926	1
GSE144857	GSM4299675	SRX7687184	SRR11034927	1
GSE144857	GSM4299676	SRX7687185	SRR11034928	1
GSE144857	GSM4299677	SRX7687186	SRR11034929	1
GSE144857	GSM4299678	SRX7687187	SRR11034930	1
GSE144857	GSM4299679	SRX7687188	SRR11034931	1
GSE144857	GSM4299680	SRX7687189	SRR11034932	1
GSE144857	GSM4299681	SRX7687190	SRR11034933	1
GSE144857	GSM4299682	SRX7687191	SRR11034934	1
GSE144857	GSM4299683	SRX7687192	SRR11034935	1
GSE144857	GSM4299684	SRX7687193	SRR11034936	1
GSE144857	GSM4299685	SRX7687194	SRR11034937	1
GSE144857	GSM4299686	SRX7687195	SRR11034938	1
GSE144857	GSM4299687	SRX7687196	SRR11034939	1
GSE144857	GSM4299688	SRX7687197	SRR11034940	1
GSE144857	GSM4299689	SRX7687198	SRR11034941	1
GSE144857	GSM4299690	SRX7687199	SRR11034942	1
GSE144857	GSM4299691	SRX7687200	SRR11034943	1
GSE144857	GSM4299692	SRX7687201	SRR11034944	1
GSE144857	GSM4299693	SRX7687202	SRR11034945	1
GSE144857	GSM4299694	SRX7687203	SRR11034946	1
GSE144857	GSM4299695	SRX7687204	SRR11034947	1
GSE144857	GSM4299696	SRX7687205	SRR11034948	1
GSE144857	GSM4299697	SRX7687206	SRR11034949	1
GSE144857	GSM4299698	SRX7687207	SRR11034950	1
GSE144857	GSM4299699	SRX7687208	SRR11034951	1
GSE144857	GSM4299700	SRX7687209	SRR11034952	1
GSE144857	GSM4299701	SRX7687210	SRR11034953	1
GSE144857	GSM4299702	SRX7687211	SRR11034954	1
GSE144857	GSM4299703	SRX7687212	SRR11034955	1
GSE144857	GSM4299704	SRX7687213	SRR11034956	1
GSE151255	GSM4569656	SRX8404698	SRR11854588	1
GSE151255	GSM4569657	SRX8404699	SRR11854589	1
GSE151255	GSM4569658	SRX8404700	SRR11854590	1
GSE151255	GSM4569659	SRX8404701	SRR11854591	1
GSE151255	GSM4569660	SRX8404702	SRR11854592	1
GSE151255	GSM4569661	SRX8404703	SRR11854593	1
GSE151255	GSM4569662	SRX8404704	SRR11854594	1
GSE151255	GSM4569663	SRX8404705	SRR11854595	1
GSE151255	GSM4569664	SRX8404706	SRR11854596	1
GSE151255	GSM4569689	SRX8404731	SRR11854621	1
GSE151255	GSM4569690	SRX8404732	SRR11854622	1
GSE151255	GSM4569691	SRX8404733	SRR11854623	1
GSE151255	GSM4569692	SRX8404734	SRR11854624	1
GSE151255	GSM4569693	SRX8404735	SRR11854625	1
GSE151255	GSM4569694	SRX8404736	SRR11854626	1
GSE151255	GSM4569695	SRX8404737	SRR11854627	1
GSE151255	GSM4569696	SRX8404738	SRR11854628	1
GSE151255	GSM4569697	SRX8404739	SRR11854629	1
GSE151255	GSM4569698	SRX8404740	SRR11854630	1
GSE151255	GSM4569699	SRX8404741	SRR11854631	1
GSE151255	GSM4569700	SRX8404742	SRR11854632	1
GSE151255	GSM4569701	SRX8404743	SRR11854633	1
GSE151255	GSM4569702	SRX8404744	SRR11854634	1
GSE151255	GSM4569703	SRX8404745	SRR11854635	1
GSE151255	GSM4569704	SRX8404746	SRR11854636	1
GSE151255	GSM4569705	SRX8404747	SRR11854637	1
GSE151255	GSM4569706	SRX8404748	SRR11854638	1
GSE151255	GSM4569707	SRX8404749	SRR11854639	1
GSE151255	GSM4569708	SRX8404750	SRR11854640	1
GSE151255	GSM4569709	SRX8404751	SRR11854641	1
GSE151255	GSM4569710	SRX8404752	SRR11854642	1
GSE151255	GSM4569711	SRX8404753	SRR11854643	1
GSE151255	GSM4569712	SRX8404754	SRR11854644	1
GSE151255	GSM4569713	SRX8404755	SRR11854645	1
GSE151255	GSM4569714	SRX8404756	SRR11854646	1
GSE151255	GSM4569715	SRX8404757	SRR11854647	1
GSE151255	GSM4569716	SRX8404758	SRR11854648	1
GSE151255	GSM4569717	SRX8404759	SRR11854649	1
GSE151255	GSM4569718	SRX8404760	SRR11854650	1
GSE151255	GSM4569719	SRX8404761	SRR11854651	1
GSE151255	GSM4569720	SRX8404762	SRR11854652	1
GSE151255	GSM4569721	SRX8404763	SRR11854653	1
GSE151282	GSM4570347	SRX8406263	SRR11856162	1
GSE151282	GSM4570348	SRX8406264	SRR11856163	1
GSE151282	GSM4570349	SRX8406265	SRR11856164	1
GSE151282	GSM4570350	SRX8406266	SRR11856165	1
GSE151282	GSM4570351	SRX8406267	SRR11856166	1
GSE151282	GSM4570352	SRX8406268	SRR11856167	1
GSE151282	GSM4570353	SRX8406269	SRR11856168	1
GSE151282	GSM4570354	SRX8406270	SRR11856169	1
GSE154418	GSM4670820	SRX8727283	SRR12216805	1
GSE154418	GSM4670821	SRX8727284	SRR12216806	1
GSE154418	GSM4670822	SRX8727285	SRR12216807	1
GSE154418	GSM4670823	SRX8727286	SRR12216808	1
GSE154418	GSM4670824	SRX8727287	SRR12216809	1
GSE154418	GSM4670825	SRX8727288	SRR12216810	1
GSE154418	GSM4670826	SRX8727289	SRR12216811	1
GSE154418	GSM4670827	SRX8727290	SRR12216812	1
GSE154418	GSM4670828	SRX8727291	SRR12216813	1
GSE154418	GSM4670829	SRX8727292	SRR12216814	1
GSE154418	GSM4670830	SRX8727293	SRR12216815	1
GSE154418	GSM4670831	SRX8727294	SRR12216816	1
GSE154418	GSM4670832	SRX8727295	SRR12216817	1
GSE154418	GSM4670833	SRX8727296	SRR12216818	1
GSE154418	GSM4670834	SRX8727297	SRR12216819	1
GSE154418	GSM4670835	SRX8727298	SRR12216820	1
GSE154418	GSM4670836	SRX8727299	SRR12216821	1
GSE160637	GSM4876252	SRX9417251	SRR12964656	1
GSE160637	GSM4876253	SRX9417252	SRR12964657	1
GSE160637	GSM4876254	SRX9417253	SRR12964658	1
GSE160637	GSM4876255	SRX9417254	SRR12964659	1
GSE160637	GSM4876256	SRX9417255	SRR12964660	1
GSE160637	GSM4876257	SRX9417256	SRR12964661	1
GSE160690	GSM4877084	SRX9422407	SRR12970036	1
GSE160690	GSM4877085	SRX9422408	SRR12970037	1
GSE160690	GSM4877086	SRX9422409	SRR12970038	1
GSE160690	GSM4877087	SRX9422410	SRR12970039	1
GSE160690	GSM4877088	SRX9422411	SRR12970040	1
GSE166849	GSM5086593	SRX10110239	SRR13721833	1
GSE166849	GSM5086594	SRX10110240	SRR13721834	1
GSE166849	GSM5086595	SRX10110241	SRR13721835	1
GSE166849	GSM5086596	SRX10110242	SRR13721836	1
GSE166849	GSM5086597	SRX10110243	SRR13721837	1
GSE166849	GSM5086598	SRX10110244	SRR13721838	1
GSE166849	GSM5086599	SRX10110245	SRR13721839	1
GSE166849	GSM5086600	SRX10110246	SRR13721840	1
GSE166849	GSM5086601	SRX10110247	SRR13721841	1
GSE166849	GSM5086602	SRX10110248	SRR13721842	1
GSE166849	GSM5086603	SRX10110249	SRR13721843	1
GSE166849	GSM5086604	SRX10110250	SRR13721844	1
GSE166849	GSM5086605	SRX10110251	SRR13721845	1
GSE166849	GSM5086606	SRX10110252	SRR13721846	1
GSE166849	GSM5086607	SRX10110253	SRR13721847	1
GSE166849	GSM5086608	SRX10110254	SRR13721848	1
GSE166849	GSM5086609	SRX10110255	SRR13721849	1
GSE166849	GSM5086610	SRX10110256	SRR13721850	1
GSE166849	GSM5086611	SRX10110257	SRR13721851	1
GSE166849	GSM5086612	SRX10110258	SRR13721852	1
GSE166849	GSM5086613	SRX10110259	SRR13721853	1
GSE166849	GSM5086614	SRX10110260	SRR13721854	1
GSE166849	GSM5086615	SRX10110261	SRR13721855	1
GSE166849	GSM5086616	SRX10110262	SRR13721856	1
GSE166849	GSM5086617	SRX10110263	SRR13721857	1
GSE166849	GSM5086618	SRX10110264	SRR13721858	1
GSE166849	GSM5086619	SRX10110265	SRR13721859	1
GSE166849	GSM5086620	SRX10110266	SRR13721860	1
GSE166849	GSM5086621	SRX10110267	SRR13721861	1
GSE166849	GSM5086622	SRX10110268	SRR13721862	1
GSE166849	GSM5086623	SRX10110269	SRR13721863	1
GSE166849	GSM5086624	SRX10110270	SRR13721864	1
GSE166849	GSM5086625	SRX10110271	SRR13721865	1
GSE166849	GSM5086626	SRX10110272	SRR13721866	1
GSE166849	GSM5086627	SRX10110273	SRR13721867	1
GSE166849	GSM5086628	SRX10110274	SRR13721868	1
GSE166849	GSM5086629	SRX10110275	SRR13721869	1
GSE166849	GSM5086630	SRX10110276	SRR13721870	1
GSE166849	GSM5086631	SRX10110277	SRR13721871	1
GSE166849	GSM5086632	SRX10110278	SRR13721872	1
GSE166849	GSM5086633	SRX10110279	SRR13721873	1
GSE166849	GSM5086634	SRX10110280	SRR13721874	1
GSE166849	GSM5086635	SRX10110281	SRR13721875	1
GSE166849	GSM5086636	SRX10110282	SRR13721876	1
GSE166849	GSM5086637	SRX10110283	SRR13721877	1
GSE166849	GSM5086638	SRX10110284	SRR13721878	1
GSE166849	GSM5086639	SRX10110285	SRR13721879	1
GSE166849	GSM5086640	SRX10110286	SRR13721880	1
GSE166849	GSM5086641	SRX10110287	SRR13721881	1
GSE166849	GSM5086642	SRX10110288	SRR13721882	1
GSE166849	GSM5086643	SRX10110289	SRR13721883	1
GSE166849	GSM5086644	SRX10110290	SRR13721884	1
GSE166849	GSM5086645	SRX10110291	SRR13721885	1
GSE166849	GSM5086646	SRX10110292	SRR13721886	1
GSE166849	GSM5086647	SRX10110293	SRR13721887	1
GSE166849	GSM5086648	SRX10110294	SRR13721888	1
GSE166849	GSM5086649	SRX10110295	SRR13721889	1
GSE166849	GSM5086650	SRX10110296	SRR13721890	1
GSE166849	GSM5086651	SRX10110297	SRR13721891	1
GSE166849	GSM5086652	SRX10110298	SRR13721892	1
GSE166849	GSM5086653	SRX10110299	SRR13721893	1
GSE166849	GSM5086654	SRX10110300	SRR13721894	1
GSE166849	GSM5086655	SRX10110301	SRR13721895	1
GSE166849	GSM5086656	SRX10110302	SRR13721896	1
GSE166849	GSM5086657	SRX10110303	SRR13721897	1
GSE166849	GSM5086658	SRX10110304	SRR13721898	1
GSE166849	GSM5086659	SRX10110305	SRR13721899	1
GSE166849	GSM5086660	SRX10110306	SRR13721900	1
GSE166849	GSM5086661	SRX10110307	SRR13721901	1
GSE166849	GSM5086662	SRX10110308	SRR13721902	1
GSE166849	GSM5086663	SRX10110309	SRR13721903	1
GSE166849	GSM5086664	SRX10110310	SRR13721904	1
GSE167021	GSM5090903	SRX10124327	SRR13736882	1
GSE167021	GSM5090903	SRX10124327	SRR13736883	1
GSE167021	GSM5090904	SRX10124328	SRR13736884	1
GSE167021	GSM5090904	SRX10124328	SRR13736885	1
GSE167021	GSM5090905	SRX10124329	SRR13736886	1
GSE167021	GSM5090905	SRX10124329	SRR13736887	1
GSE167021	GSM5090906	SRX10124330	SRR13736888	1
GSE167021	GSM5090906	SRX10124330	SRR13736889	1
GSE167021	GSM5090907	SRX10124331	SRR13736890	1
GSE167021	GSM5090907	SRX10124331	SRR13736891	1
GSE167021	GSM5090908	SRX10124332	SRR13736892	1
GSE167021	GSM5090908	SRX10124332	SRR13736893	1
GSE167021	GSM5090909	SRX10124333	SRR13736894	1
GSE167021	GSM5090909	SRX10124333	SRR13736895	1
GSE167021	GSM5090910	SRX10124334	SRR13736896	1
GSE167021	GSM5090910	SRX10124334	SRR13736897	1
GSE167021	GSM5090911	SRX10124335	SRR13736898	1
GSE167021	GSM5090911	SRX10124335	SRR13736899	1
GSE167021	GSM5090912	SRX10124336	SRR13736900	1
GSE167021	GSM5090912	SRX10124336	SRR13736901	1
GSE167021	GSM5090913	SRX10124337	SRR13736902	1
GSE167021	GSM5090913	SRX10124337	SRR13736903	1
GSE167021	GSM5090914	SRX10124338	SRR13736904	1
GSE167021	GSM5090914	SRX10124338	SRR13736905	1
GSE183701	GSM5567995	SRX12109191	SRR15817099	1
GSE183701	GSM5567996	SRX12109192	SRR15817100	1
GSE183701	GSM5567997	SRX12109193	SRR15817101	1
GSE183701	GSM5567998	SRX12109194	SRR15817102	1
GSE183701	GSM5567999	SRX12109195	SRR15817103	1
GSE183701	GSM5568000	SRX12109196	SRR15817104	1
GSE183701	GSM5568001	SRX12109197	SRR15817105	1
GSE183701	GSM5568002	SRX12109198	SRR15817106	1
GSE183701	GSM5568003	SRX12109199	SRR15817107	1
GSE183701	GSM5568004	SRX12109200	SRR15817108	1
GSE183701	GSM5568005	SRX12109201	SRR15817109	1
GSE183701	GSM5568006	SRX12109202	SRR15817110	1
GSE183701	GSM5568007	SRX12109203	SRR15817111	1
GSE183701	GSM5568008	SRX12109204	SRR15817112	1
GSE183701	GSM5568009	SRX12109205	SRR15817113	1
GSE183701	GSM5568010	SRX12109206	SRR15817114	1
GSE183701	GSM5568011	SRX12109207	SRR15817115	1
GSE183701	GSM5568012	SRX12109208	SRR15817116	1
GSE183701	GSM5568013	SRX12109209	SRR15817117	1
GSE183701	GSM5568014	SRX12109210	SRR15817118	1
GSE183701	GSM5568015	SRX12109211	SRR15817119	1
GSE183701	GSM5568016	SRX12109212	SRR15817120	1
GSE183701	GSM5568017	SRX12109213	SRR15817121	1
GSE183701	GSM5568018	SRX12109214	SRR15817122	1
GSE183701	GSM5568019	SRX12109215	SRR15817123	1
GSE183701	GSM5568020	SRX12109216	SRR15817124	1
GSE183701	GSM5568021	SRX12109217	SRR15817125	1
GSE183701	GSM5568022	SRX12109218	SRR15817126	1
GSE183701	GSM5568023	SRX12109219	SRR15817127	1
GSE183701	GSM5568024	SRX12109220	SRR15817128	1
GSE183701	GSM5568025	SRX12109221	SRR15817129	1
GSE183701	GSM5568026	SRX12109222	SRR15817130	1
GSE183701	GSM5568027	SRX12109223	SRR15817131	1
GSE183701	GSM5568028	SRX12109224	SRR15817132	1
GSE183701	GSM5568029	SRX12109225	SRR15817133	1
GSE183701	GSM5568030	SRX12109226	SRR15817134	1
GSE183701	GSM5568031	SRX12109227	SRR15817135	1
GSE183701	GSM5568032	SRX12109228	SRR15817136	1
GSE183701	GSM5568033	SRX12109229	SRR15817137	1
GSE183701	GSM5568034	SRX12109230	SRR15817138	1
GSE183701	GSM5568035	SRX12109231	SRR15817139	1
GSE183701	GSM5568036	SRX12109232	SRR15817140	1
GSE183701	GSM5568037	SRX12109233	SRR15817141	1
GSE183701	GSM5568038	SRX12109234	SRR15817142	1
GSE183701	GSM5568039	SRX12109235	SRR15817143	1
GSE183701	GSM5568040	SRX12109236	SRR15817144	1
GSE183701	GSM5568041	SRX12109237	SRR15817145	1
GSE183701	GSM5568042	SRX12109238	SRR15817146	1
GSE183701	GSM5568043	SRX12109239	SRR15817147	1
GSE183701	GSM5568044	SRX12109240	SRR15817148	1
GSE183701	GSM5568045	SRX12109241	SRR15817149	1
GSE183701	GSM5568046	SRX12109242	SRR15817150	1
GSE183701	GSM5568047	SRX12109243	SRR15817151	1
GSE183701	GSM5568048	SRX12109244	SRR15817152	1
GSE183701	GSM5568049	SRX12109245	SRR15817153	1
GSE183701	GSM5568050	SRX12109246	SRR15817154	1
GSE183701	GSM5568051	SRX12109247	SRR15817155	1
GSE183701	GSM5568052	SRX12109248	SRR15817156	1
GSE183701	GSM5568053	SRX12109249	SRR15817157	1
GSE183701	GSM5568054	SRX12109250	SRR15817158	1
GSE183701	GSM5568055	SRX12109251	SRR15817159	1
GSE183701	GSM5568056	SRX12109252	SRR15817160	1
GSE183701	GSM5568057	SRX12109253	SRR15817161	1
GSE183701	GSM5568058	SRX12109254	SRR15817162	1
GSE183701	GSM5568059	SRX12109255	SRR15817163	1
GSE183701	GSM5568060	SRX12109256	SRR15817164	1
GSE183701	GSM5568061	SRX12109257	SRR15817165	1
GSE183701	GSM5568062	SRX12109258	SRR15817166	1
GSE183701	GSM5568063	SRX12109259	SRR15817167	1
GSE183701	GSM5568064	SRX12109260	SRR15817168	1
GSE183701	GSM5568065	SRX12109261	SRR15817169	1
GSE183701	GSM5568066	SRX12109262	SRR15817170	1
GSE183701	GSM5568067	SRX12109263	SRR15817171	1
GSE183701	GSM5568068	SRX12109264	SRR15817172	1
GSE183701	GSM5568069	SRX12109265	SRR15817173	1
GSE185192	GSM5617588	SRX12521983	SRR16242076	1
GSE185192	GSM5617589	SRX12521984	SRR16242077	1
GSE185192	GSM5617590	SRX12521985	SRR16242078	1
GSE185192	GSM5617591	SRX12521986	SRR16242079	1
GSE185192	GSM5617592	SRX12521987	SRR16242080	1
GSE185192	GSM5617593	SRX12521988	SRR16242081	1
GSE185192	GSM5617594	SRX12521989	SRR16242082	1
GSE185192	GSM5617595	SRX12521990	SRR16242083	1
GSE185192	GSM5617596	SRX12521934	SRR16242084	1
GSE185192	GSM5617597	SRX12521935	SRR16242085	1
GSE185192	GSM5617598	SRX12521936	SRR16242086	1
GSE185192	GSM5617599	SRX12521937	SRR16242087	1
GSE185192	GSM5617600	SRX12521938	SRR16242088	1
GSE185192	GSM5617601	SRX12521939	SRR16242089	1
GSE185192	GSM5617602	SRX12521940	SRR16242090	1
GSE185192	GSM5617603	SRX12521933	SRR16242091	1
GSE185192	GSM5617604	SRX12521941	SRR16242092	1
GSE185192	GSM5617605	SRX12521942	SRR16242093	1
GSE185192	GSM5617606	SRX12521943	SRR16242094	1
GSE185192	GSM5617607	SRX12521944	SRR16242095	1
GSE185192	GSM5617608	SRX12521945	SRR16242096	1
GSE185192	GSM5617609	SRX12521946	SRR16242097	1
GSE185192	GSM5617610	SRX12521947	SRR16242098	1
GSE185192	GSM5617611	SRX12521948	SRR16242099	1
GSE185192	GSM5617612	SRX12521949	SRR16242100	1
GSE185192	GSM5617613	SRX12521950	SRR16242101	1
GSE185192	GSM5617614	SRX12521951	SRR16242102	1
GSE185192	GSM5617615	SRX12521952	SRR16242103	1
GSE185192	GSM5617616	SRX12521953	SRR16242104	1
GSE185192	GSM5617617	SRX12521954	SRR16242105	1
GSE185192	GSM5617618	SRX12521955	SRR16242106	1
GSE185192	GSM5617619	SRX12521956	SRR16242107	1
GSE185192	GSM5617620	SRX12521957	SRR16242108	1
GSE185192	GSM5617621	SRX12521958	SRR16242109	1
GSE185192	GSM5617622	SRX12521959	SRR16242110	1
GSE185192	GSM5617623	SRX12521960	SRR16242111	1
GSE185192	GSM5617624	SRX12521961	SRR16242112	1
GSE185192	GSM5617625	SRX12521962	SRR16242113	1
GSE185192	GSM5617626	SRX12521963	SRR16242114	1
GSE185192	GSM5617627	SRX12521964	SRR16242115	1
GSE185192	GSM5617628	SRX12521965	SRR16242116	1
GSE185192	GSM5617629	SRX12521966	SRR16242117	1
GSE185192	GSM5617630	SRX12521967	SRR16242118	1
GSE185192	GSM5617631	SRX12521968	SRR16242119	1
GSE185192	GSM5617632	SRX12521970	SRR16242120	1
GSE185192	GSM5617633	SRX12521971	SRR16242121	1
GSE185192	GSM5617634	SRX12521972	SRR16242122	1
GSE185192	GSM5617635	SRX12521973	SRR16242123	1
GSE185192	GSM5617636	SRX12521974	SRR16242124	1
GSE185192	GSM5617637	SRX12521975	SRR16242125	1
GSE185192	GSM5617638	SRX12521976	SRR16242126	1
GSE185192	GSM5617639	SRX12521977	SRR16242127	1
GSE185192	GSM5617640	SRX12521978	SRR16242128	1
GSE185192	GSM5617641	SRX12521979	SRR16242129	1
GSE185192	GSM5617642	SRX12521980	SRR16242130	1
GSE185192	GSM5617643	SRX12521981	SRR16242131	1
GSE185192	GSM5617644	SRX12521982	SRR16242132	1
GSE185192	GSM5617645	SRX12521991	SRR16242133	1
GSE185192	GSM5617646	SRX12521992	SRR16242134	1
GSE185192	GSM5617647	SRX12521993	SRR16242135	1
GSE185192	GSM5617648	SRX12521994	SRR16242136	1
GSE185192	GSM5617649	SRX12521995	SRR16242137	1
GSE185192	GSM5617650	SRX12521996	SRR16242138	1
GSE185192	GSM5617651	SRX12521998	SRR16242139	1
GSE188568	GSM5685639	SRX13103136	SRR16908175	1
GSE188568	GSM5685640	SRX13103137	SRR16908177	1
GSE188568	GSM5685641	SRX13103138	SRR16908179	1
GSE188568	GSM5685642	SRX13103139	SRR16908181	1
GSE188568	GSM5685643	SRX13103140	SRR16908183	1
GSE188568	GSM5685644	SRX13103141	SRR16908185	1
GSE188568	GSM5685645	SRX13103142	SRR16908187	1
GSE188568	GSM5685646	SRX13103143	SRR16908189	1
GSE188568	GSM5685647	SRX13103144	SRR16908191	1
GSE188568	GSM5685648	SRX13103145	SRR16908193	1
GSE188568	GSM5685649	SRX13103146	SRR16908195	1
GSE188568	GSM5685650	SRX13103147	SRR16908197	1
GSE188568	GSM5685651	SRX13103148	SRR16908199	1
GSE188568	GSM5685652	SRX13103149	SRR16908201	1
GSE188568	GSM5685653	SRX13103150	SRR16908203	1
GSE188568	GSM5685654	SRX13103151	SRR16908205	1
GSE188568	GSM5685655	SRX13103152	SRR16908207	1
GSE188568	GSM5685656	SRX13103153	SRR16908209	1
GSE189225	GSM5696316	SRX13179958	SRR16989481	1
GSE189225	GSM5696317	SRX13179959	SRR16989480	1
GSE189225	GSM5696318	SRX13179960	SRR16989479	1
GSE189225	GSM5696319	SRX13179961	SRR16989478	1
GSE189225	GSM5696320	SRX13179962	SRR16989477	1
GSE189225	GSM5696321	SRX13179963	SRR16989476	1
GSE190305	GSM5719536	SRX13329033	SRR17144993	1
GSE190305	GSM5719537	SRX13329034	SRR17144992	1
GSE201093	GSM6050562	SRX14927372	SRR18829029	1
GSE201093	GSM6050563	SRX14927373	SRR18829028	1
GSE201093	GSM6050564	SRX14927374	SRR18829027	1
GSE201093	GSM6050565	SRX14927375	SRR18829026	1
GSE201093	GSM6050566	SRX14927376	SRR18829025	1
GSE201093	GSM6050567	SRX14927377	SRR18829024	1
GSE201093	GSM6050568	SRX14927378	SRR18829023	1
GSE201093	GSM6050569	SRX14927379	SRR18829022	1
GSE201093	GSM6050570	SRX14927380	SRR18829021	1
GSE201093	GSM6050571	SRX14927381	SRR18829020	1
GSE201093	GSM6050572	SRX14927382	SRR18829019	1
GSE201093	GSM6050573	SRX14927383	SRR18829018	1
GSE201290	GSM6057925	SRX14967047	SRR18888464	1
GSE201290	GSM6057926	SRX14967046	SRR18888465	1
GSE201290	GSM6057927	SRX14967048	SRR18888462	1
GSE201290	GSM6057928	SRX14967049	SRR18888461	1
GSE201290	GSM6057929	SRX14967050	SRR18888460	1
GSE201290	GSM6057930	SRX14967051	SRR18888459	1
GSE201290	GSM6057931	SRX14967052	SRR18888458	1
GSE201290	GSM6057932	SRX14967053	SRR18888466	1
GSE201290	GSM6057933	SRX14967054	SRR18888457	1
GSE201290	GSM6057934	SRX14967055	SRR18888467	1
GSE201290	GSM6057935	SRX14967056	SRR18888456	1
GSE201290	GSM6057936	SRX14967057	SRR18888468	1
GSE201290	GSM6057937	SRX14967058	SRR18888455	1
GSE201290	GSM6057938	SRX14967059	SRR18888463	1
GSE203257	GSM6165373	SRX15324720	SRR19264315	1
GSE203257	GSM6165374	SRX15324721	SRR19264314	1
GSE203257	GSM6165375	SRX15324722	SRR19264313	1
GSE203257	GSM6165376	SRX15324723	SRR19264312	1
GSE203257	GSM6165377	SRX15324724	SRR19264311	1
GSE208575	GSM6351542	SRX16346883	SRR20313613	1
GSE208575	GSM6351543	SRX16346884	SRR20313612	1
GSE208575	GSM6351544	SRX16346885	SRR20313611	1
GSE208575	GSM6351545	SRX16346886	SRR20313610	1
GSE208575	GSM6351546	SRX16346887	SRR20313609	1
GSE208575	GSM6351547	SRX16346888	SRR20313608	1
GSE208575	GSM6351548	SRX16346889	SRR20313607	1
GSE208575	GSM6351549	SRX16346890	SRR20313606	1
GSE208575	GSM6351550	SRX16346891	SRR20313605	1
GSE213500	GSM6588166	SRX17604936	SRR21603324	1
GSE213500	GSM6588167	SRX17604937	SRR21603323	1
GSE213500	GSM6588168	SRX17604938	SRR21603319	1
GSE213500	GSM6588169	SRX17604939	SRR21603318	1
GSE213500	GSM6588170	SRX17604940	SRR21603320	1
GSE213500	GSM6588171	SRX17604941	SRR21603317	1
GSE213500	GSM6588172	SRX17604942	SRR21603321	1
GSE213500	GSM6588173	SRX17604943	SRR21603316	1
GSE213500	GSM6588174	SRX17604944	SRR21603322	1
GSE213500	GSM6588175	SRX17604945	SRR21603315	1
GSE213500	GSM6588176	SRX17604947	SRR21603310	1
GSE213500	GSM6588177	SRX17604946	SRR21603311	1
GSE213500	GSM6588178	SRX17604948	SRR21603309	1
GSE213500	GSM6588179	SRX17604949	SRR21603312	1
GSE213500	GSM6588180	SRX17604950	SRR21603308	1
GSE213500	GSM6588181	SRX17604951	SRR21603313	1
GSE213500	GSM6588182	SRX17604952	SRR21603307	1
GSE213500	GSM6588183	SRX17604953	SRR21603314	1
GSE213500	GSM6588184	SRX17604954	SRR21603306	1
GSE213500	GSM6588185	SRX17604955	SRR21603305	1
GSE213500	GSM6588186	SRX17604956	SRR21603304	1
GSE213500	GSM6588187	SRX17604957	SRR21603303	1
GSE213500	GSM6588188	SRX17604958	SRR21603302	1
GSE213500	GSM6588189	SRX17604959	SRR21603301	1
GSE213502	GSM6588220	SRX17605140	SRR21603526	1
GSE213502	GSM6588221	SRX17605141	SRR21603525	1
GSE213502	GSM6588222	SRX17605142	SRR21603521	1
GSE213502	GSM6588223	SRX17605143	SRR21603520	1
GSE213502	GSM6588224	SRX17605144	SRR21603522	1
GSE213502	GSM6588225	SRX17605145	SRR21603519	1
GSE213502	GSM6588226	SRX17605146	SRR21603523	1
GSE213502	GSM6588227	SRX17605147	SRR21603518	1
GSE213502	GSM6588228	SRX17605148	SRR21603524	1
GSE213502	GSM6588229	SRX17605149	SRR21603517	1
GSE213502	GSM6588230	SRX17605151	SRR21603512	1
GSE213502	GSM6588231	SRX17605150	SRR21603513	1
GSE213502	GSM6588232	SRX17605152	SRR21603511	1
GSE213502	GSM6588233	SRX17605153	SRR21603514	1
GSE213502	GSM6588234	SRX17605154	SRR21603510	1
GSE213502	GSM6588235	SRX17605155	SRR21603515	1
GSE213502	GSM6588236	SRX17605156	SRR21603509	1
GSE213502	GSM6588237	SRX17605157	SRR21603516	1
GSE213502	GSM6588238	SRX17605158	SRR21603508	1
GSE213502	GSM6588239	SRX17605159	SRR21603507	1
GSE213502	GSM6588240	SRX17605160	SRR21603506	1
GSE213502	GSM6588241	SRX17605161	SRR21603505	1
GSE222365	GSM6921577	SRX18964208	SRR23008451	1
GSE222365	GSM6921578	SRX18964209	SRR23008450	1
GSE222365	GSM6921579	SRX18964210	SRR23008449	1
GSE222365	GSM6921580	SRX18964211	SRR23008448	1
GSE222365	GSM6921581	SRX18964212	SRR23008447	1
GSE222365	GSM6921582	SRX18964213	SRR23008446	1
GSE222365	GSM6921583	SRX18964214	SRR23008445	1
GSE222365	GSM6921584	SRX18964215	SRR23008444	1
GSE222365	GSM6921585	SRX18964216	SRR23008443	1
GSE222365	GSM6921586	SRX18964217	SRR23008442	1
GSE222365	GSM6921587	SRX18964218	SRR23008441	1
GSE222365	GSM6921588	SRX18964219	SRR23008440	1
GSE222365	GSM6921589	SRX18964220	SRR23008439	1
GSE222365	GSM6921590	SRX18964221	SRR23008438	1
GSE222365	GSM6921591	SRX18964222	SRR23008437	1
GSE222365	GSM6921592	SRX18964223	SRR23008436	1
GSE222365	GSM6921593	SRX18964224	SRR23008435	1
GSE222365	GSM6921594	SRX18964225	SRR23008434	1
GSE222365	GSM6921595	SRX18964226	SRR23008433	1
