gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000177932	326.6641184273526	-7.058691847356984	0.3318954972148888	-21.26781443734613	2.2554711099090596e-100	5.14360186614761e-96
ENSG00000134330	292.2640684081397	-7.591659675285112	0.4262712505607205	-17.80945739432107	5.968561454417844e-71	5.8134188775809515e-67
ENSG00000147862	138.66249549470353	1.946863166849767	0.10940151953951949	17.795577017981866	7.647558269126443e-71	5.8134188775809515e-67
ENSG00000177873	115.62486530594754	-3.3789459229044274	0.20533967471172435	-16.45539727112219	7.67168729210345e-61	4.3738207174104796e-57
ENSG00000187601	297.5225814682634	-5.773471180001318	0.39365368764080266	-14.66637138496576	1.0585658100397456e-48	4.82811865959128e-45
ENSG00000249803	191.61903687102432	-8.096567613188665	0.6088112505191113	-13.298978306141706	2.346528118590913e-40	8.918762290744294e-37
ENSG00000143344	1097.7951402815147	0.8031778551393026	0.06428961436322252	12.493119815613143	8.139795239091306e-36	2.6518290061068173e-32
ENSG00000278318	249.91403976865644	-10.425635653089417	0.8430600920242761	-12.366420557348844	3.9712782200865336e-35	1.1320624976134174e-31
ENSG00000265763	79.6297138540282	1.7732112428228906	0.1442878545327258	12.289400577515067	1.0326892636938031e-34	2.6167198509485754e-31
ENSG00000198739	103.11460538157189	-2.941977928608519	0.25106436912189	-11.718022509120795	1.0304938018920038e-31	2.3500411152147147e-28
ENSG00000293855	197.92213259678962	4.826469681533559	0.4144266728481324	11.64613669376978	2.400988216374561e-31	4.977685115856533e-28
ENSG00000234444	190.20747636952396	-9.549488309462301	0.8634832194783718	-11.059263334881162	1.9771466720005374e-28	3.757402487914355e-25
ENSG00000159131	4353.157743456863	0.8246205389842926	0.07527041241504186	10.955440690789976	6.257305549671874e-28	1.0976757927712853e-24
ENSG00000054690	302.4309497768405	-1.1259868191857567	0.10526032293879424	-10.697162879126683	1.04942230788663e-26	1.7094339808110427e-23
ENSG00000182568	640.7232435044834	-0.9336792274629062	0.08870129695018424	-10.526105700430426	6.548799724137027e-26	9.95635851392966e-23
ENSG00000092051	47.20584020727054	2.228948651001438	0.2120936062598139	10.509268479649423	7.829851447410464e-26	1.1159985141137227e-22
ENSG00000136099	1680.2265557215253	-1.2948242775727792	0.12374627067626849	-10.463541814202687	1.2701708653803126e-25	1.7038968579410604e-22
ENSG00000066468	2007.5852760505245	-1.5303647711636381	0.14651145985441277	-10.44535883189171	1.5387237097436438e-25	1.9494774555946553e-22
ENSG00000253873	78.1137307717919	-4.775274672800974	0.46161788643059837	-10.344648275492915	4.4253828233672655e-25	5.311623962467921e-22
ENSG00000167555	122.06673069765318	-2.6635739303088157	0.25981447164086807	-10.251830521552224	1.1612322242429096e-24	1.3240950436929776e-21
ENSG00000125804	96.19097146336408	-3.5770220058778004	0.35872774297440146	-9.971411679004303	2.033181729492716e-23	2.2079385400514945e-20
ENSG00000169946	172.1633339804663	1.1601692805784354	0.11661208949137424	9.948962287175661	2.5482648307009994e-23	2.64150815746074e-20
ENSG00000154640	1038.8174469611024	0.9237465379855033	0.09438349531309989	9.78716177993985	1.2783383417343288e-22	1.2675002557935377e-19
ENSG00000188321	239.6909132620519	-1.2333007020455287	0.1262256103155601	-9.7706059726098	1.505488920917508e-22	1.4305281183968238e-19
ENSG00000291065	86.67314423740467	-8.408883712601636	0.8676872898139105	-9.691145429138482	3.2881997378906095e-22	2.999495800903814e-19
ENSG00000288869	17.829886971068003	3.229952470712448	0.340863384619163	9.475797684521565	2.6473021331907763e-21	2.321989428746756e-18
ENSG00000142207	1031.2502626611301	0.8830662503679291	0.0937179648692742	9.42259311328095	4.400826939176263e-21	3.717068827700544e-18
ENSG00000205213	2814.973067450486	-1.3822374853187387	0.14731138105212996	-9.383100446459043	6.406070116493898e-21	5.217515321665834e-18
ENSG00000176871	1220.0852218160542	0.5843624714023736	0.06271575985958938	9.31763360135743	1.1896388577356708e-20	9.355073845055852e-18
ENSG00000104267	284.8837279615681	-1.3314901343125407	0.14348978765618098	-9.279337268955707	1.705359681341197e-20	1.2963575844328665e-17
ENSG00000141013	82.29916792524652	-3.545049043304559	0.3835769855126373	-9.242079627292354	2.4175209718221027e-20	1.7784376052388082e-17
ENSG00000115232	103.99103969927226	1.2092055992443962	0.13236637553172428	9.135292814258449	6.523000941951441e-20	4.6486573900375814e-17
ENSG00000171291	81.82988012029745	-3.717332947783703	0.40763846107227397	-9.1191909075641	7.568725407353795e-20	5.230447967112221e-17
ENSG00000175792	1864.2636115664163	0.37912527198008955	0.041804702012542126	9.068962430741534	1.2015570808054541e-19	8.059267419931877e-17
ENSG00000159200	669.450097268802	1.2123866619590589	0.13404498479949764	9.044625308231618	1.5017932649820651e-19	9.785255830833141e-17
ENSG00000141934	33.65146944790934	1.8654877272395058	0.20650354264979892	9.033683893758237	1.6598770350945953e-19	1.0514859940370068e-16
ENSG00000182670	8050.626979675009	0.4884746222796561	0.054249706252454934	9.004189257846008	2.172651276758356e-19	1.3391165504452517e-16
ENSG00000159267	1015.1139769070362	0.6596584908952486	0.0735030127490734	8.974577588366465	2.844411055886484e-19	1.707020898144507e-16
ENSG00000138778	2443.065222432529	-1.0076591386357803	0.11279452896585115	-8.933581689417327	4.1243456220785857e-19	2.4116846643974906e-16
ENSG00000197162	52.70899419363265	-2.5004663270868583	0.2829453298943569	-8.837277250769453	9.807953080027445e-19	5.591759249750647e-16
ENSG00000109920	1076.1724537658706	-0.6255142729998675	0.07107230825862958	-8.801096915603804	1.3548528123939976e-18	7.535955704059785e-16
ENSG00000269834	49.021966577076554	-3.112646304567087	0.3540369676925351	-8.79186804941307	1.4709346602565755e-18	7.986824982655048e-16
ENSG00000160208	2009.89398472923	0.8069970990817538	0.0922162117302395	8.751141300864386	2.1120571921658893e-18	1.1201270759847235e-15
ENSG00000173376	588.584884106311	-2.1133365652507243	0.24216369479473313	-8.72689263781702	2.6176536523750354e-18	1.3567179896002882e-15
