gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000121789	426.2983810583973	0.4942267999666213	0.04269660475319099	11.575318525290575	5.49667277696414e-31	1.6144277613221375e-26
ENSMUSG00000022889	926.8887406428163	0.5802214079505582	0.051167757605679196	11.339590302588489	8.35346125979662e-30	1.2267475533074326e-25
ENSMUSG00000046201	2371.6633623361213	0.452504183632949	0.040316740841965015	11.223729254472499	3.1183698035113726e-29	3.052987983297751e-25
ENSMUSG00000058240	1662.714909329045	0.5582804637657254	0.05037584845029384	11.082303940083197	1.528869572101522e-28	1.122610705054845e-24
ENSMUSG00000022962	1107.4255679790244	0.5185879778330649	0.04816366412898243	10.767203600712039	4.917093021263499e-27	2.8883987825506046e-23
ENSMUSG00000022965	2326.6928742852565	0.6108288174486954	0.057419259428488294	10.638047643394641	1.9823956489346217e-26	9.704157100809797e-23
ENSMUSG00000022897	2933.595725461822	0.49346774910009694	0.0464546690101459	10.622565171916765	2.3403984531103183e-26	9.819977566614737e-23
ENSMUSG00000051483	1826.1105543657372	0.5836522445017653	0.05631624297590486	10.363834901974611	3.621447686595965e-25	1.156879615285004e-21
ENSMUSG00000040785	35017.62925901979	0.5692955351941673	0.05497319853048426	10.355874324439684	3.935740303848057e-25	1.156879615285004e-21
ENSMUSG00000034345	2248.6289029434133	0.5655611943031231	0.05461299585669241	10.355798751403196	3.9388499379830586e-25	1.156879615285004e-21
ENSMUSG00000046750	42.09975375275573	1.6046874234021398	0.15595334347890832	10.289535239231105	7.855461399301495e-25	2.0974796068989474e-21
ENSMUSG00000041079	293.5610457652485	0.6362604302879011	0.06338630341300568	10.037821990378957	1.0394385088759585e-23	2.544112370349648e-20
ENSMUSG00000004945	1077.7873970344892	0.5744503573201307	0.05907069617547146	9.7247940944137	2.3638315472382076e-22	5.340622797994877e-19
ENSMUSG00000022890	3488.799056502683	0.5720430612430216	0.0597195766912715	9.578819759561865	9.816019599896773e-22	2.0593307976326297e-18
